CALENDAR_YEAR,LOCATION_ID,GROUPING,SUB,EXPERIENCING_HOMELESSNESS_CNT
OCT 2023 to SEP 2024,CA-508,"American Indian, Alaska Native, or Indigenous",Race Alone,29
OCT 2023 to SEP 2024,CA-508,"American Indian, Alaska Native, or Indigenous",Race Combination,120
OCT 2023 to SEP 2024,CA-508,Asian or Asian American,Race Alone,*
OCT 2023 to SEP 2024,CA-508,Asian or Asian American,Race Combination,*
OCT 2023 to SEP 2024,CA-508,"Black, African American, or African",Race Alone,80
OCT 2023 to SEP 2024,CA-508,"Black, African American, or African",Race Combination,29
OCT 2023 to SEP 2024,CA-508,Hispanic/Latina/e/o,Race Alone,319
OCT 2023 to SEP 2024,CA-508,Hispanic/Latina/e/o,Race Combination,620
OCT 2023 to SEP 2024,CA-508,Native Hawaiian or Pacific Islander,Race Alone,*
OCT 2023 to SEP 2024,CA-508,Native Hawaiian or Pacific Islander,Race Combination,*
OCT 2023 to SEP 2024,CA-508,White,Race Alone,760
OCT 2023 to SEP 2024,CA-508,White,Race Combination,567
OCT 2023 to SEP 2024,CA-508,Middle Eastern or North African,Race Alone,*
OCT 2023 to SEP 2024,CA-508,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-509,"American Indian, Alaska Native, or Indigenous",Race Alone,133
OCT 2023 to SEP 2024,CA-509,"American Indian, Alaska Native, or Indigenous",Race Combination,79
OCT 2023 to SEP 2024,CA-509,Asian or Asian American,Race Alone,*
OCT 2023 to SEP 2024,CA-509,Asian or Asian American,Race Combination,*
OCT 2023 to SEP 2024,CA-509,"Black, African American, or African",Race Alone,31
OCT 2023 to SEP 2024,CA-509,"Black, African American, or African",Race Combination,*
OCT 2023 to SEP 2024,CA-509,Hispanic/Latina/e/o,Race Alone,49
OCT 2023 to SEP 2024,CA-509,Hispanic/Latina/e/o,Race Combination,193
OCT 2023 to SEP 2024,CA-509,Native Hawaiian or Pacific Islander,Race Alone,*
OCT 2023 to SEP 2024,CA-509,Native Hawaiian or Pacific Islander,Race Combination,*
OCT 2023 to SEP 2024,CA-509,White,Race Alone,777
OCT 2023 to SEP 2024,CA-509,White,Race Combination,190
OCT 2023 to SEP 2024,CA-509,Middle Eastern or North African,Race Alone,*
OCT 2023 to SEP 2024,CA-509,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-510,"American Indian, Alaska Native, or Indigenous",Race Alone,71
OCT 2023 to SEP 2024,CA-510,"American Indian, Alaska Native, or Indigenous",Race Combination,332
OCT 2023 to SEP 2024,CA-510,Asian or Asian American,Race Alone,80
OCT 2023 to SEP 2024,CA-510,Asian or Asian American,Race Combination,120
OCT 2023 to SEP 2024,CA-510,"Black, African American, or African",Race Alone,658
OCT 2023 to SEP 2024,CA-510,"Black, African American, or African",Race Combination,380
OCT 2023 to SEP 2024,CA-510,Hispanic/Latina/e/o,Race Alone,1142
OCT 2023 to SEP 2024,CA-510,Hispanic/Latina/e/o,Race Combination,1553
OCT 2023 to SEP 2024,CA-510,Native Hawaiian or Pacific Islander,Race Alone,69
OCT 2023 to SEP 2024,CA-510,Native Hawaiian or Pacific Islander,Race Combination,101
OCT 2023 to SEP 2024,CA-510,White,Race Alone,2205
OCT 2023 to SEP 2024,CA-510,White,Race Combination,1553
OCT 2023 to SEP 2024,CA-510,Middle Eastern or North African,Race Alone,15
OCT 2023 to SEP 2024,CA-510,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-511,"American Indian, Alaska Native, or Indigenous",Race Alone,59
OCT 2023 to SEP 2024,CA-511,"American Indian, Alaska Native, or Indigenous",Race Combination,235
OCT 2023 to SEP 2024,CA-511,Asian or Asian American,Race Alone,250
OCT 2023 to SEP 2024,CA-511,Asian or Asian American,Race Combination,217
OCT 2023 to SEP 2024,CA-511,"Black, African American, or African",Race Alone,2903
OCT 2023 to SEP 2024,CA-511,"Black, African American, or African",Race Combination,705
OCT 2023 to SEP 2024,CA-511,Hispanic/Latina/e/o,Race Alone,1305
OCT 2023 to SEP 2024,CA-511,Hispanic/Latina/e/o,Race Combination,1936
OCT 2023 to SEP 2024,CA-511,Native Hawaiian or Pacific Islander,Race Alone,45
OCT 2023 to SEP 2024,CA-511,Native Hawaiian or Pacific Islander,Race Combination,133
OCT 2023 to SEP 2024,CA-511,White,Race Alone,1883
OCT 2023 to SEP 2024,CA-511,White,Race Combination,1890
OCT 2023 to SEP 2024,CA-511,Middle Eastern or North African,Race Alone,17
OCT 2023 to SEP 2024,CA-511,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-512,"American Indian, Alaska Native, or Indigenous",Race Alone,27
OCT 2023 to SEP 2024,CA-512,"American Indian, Alaska Native, or Indigenous",Race Combination,206
OCT 2023 to SEP 2024,CA-512,Asian or Asian American,Race Alone,226
OCT 2023 to SEP 2024,CA-512,Asian or Asian American,Race Combination,51
OCT 2023 to SEP 2024,CA-512,"Black, African American, or African",Race Alone,768
OCT 2023 to SEP 2024,CA-512,"Black, African American, or African",Race Combination,107
OCT 2023 to SEP 2024,CA-512,Hispanic/Latina/e/o,Race Alone,697
OCT 2023 to SEP 2024,CA-512,Hispanic/Latina/e/o,Race Combination,1531
OCT 2023 to SEP 2024,CA-512,Native Hawaiian or Pacific Islander,Race Alone,327
OCT 2023 to SEP 2024,CA-512,Native Hawaiian or Pacific Islander,Race Combination,42
OCT 2023 to SEP 2024,CA-512,White,Race Alone,1428
OCT 2023 to SEP 2024,CA-512,White,Race Combination,1381
OCT 2023 to SEP 2024,CA-512,Middle Eastern or North African,Race Alone,39
OCT 2023 to SEP 2024,CA-512,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-513,"American Indian, Alaska Native, or Indigenous",Race Alone,107
OCT 2023 to SEP 2024,CA-513,"American Indian, Alaska Native, or Indigenous",Race Combination,177
OCT 2023 to SEP 2024,CA-513,Asian or Asian American,Race Alone,41
OCT 2023 to SEP 2024,CA-513,Asian or Asian American,Race Combination,29
OCT 2023 to SEP 2024,CA-513,"Black, African American, or African",Race Alone,500
OCT 2023 to SEP 2024,CA-513,"Black, African American, or African",Race Combination,154
OCT 2023 to SEP 2024,CA-513,Hispanic/Latina/e/o,Race Alone,1313
OCT 2023 to SEP 2024,CA-513,Hispanic/Latina/e/o,Race Combination,1776
